"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"If I Were You","Joan Carr-Wiggin",9200,13,55,"female","female"
"Igby Goes Down","Burr Steers",4700000,75,80,"male","male"
"I'll Do Anything","James L. Brooks",10200000,67,41,"male","male"
"I'll See You in My Dreams","Brett Haley",7400000,93,68,"male","female"
"I'll Sleep When I'm Dead","Mike Hodges",358800,45,35,"male","male"
"Illegal Tender","Franc. Reyes",3100000,15,66,NA,"male"
"Illtown","Nick Gomez",49100,50,54,"male","male"
"Illusion","Michael A. Goorjian",9300,36,87,"male","male"
"The Illusionist","Neil Burger",39800000,73,83,"male","male"
"I'm Gonna Git You Sucka","Keenen Ivory Wayans",11800000,62,70,"male","male"
"I'm Not Ashamed","Brian Baugh",2100000,20,82,"male","female"
"I'm Not Scared","Gabriele Salvatores",1600000,90,87,"female","male"
"I'm Not There","Todd Haynes",4e+06,77,69,"male","male"
"Imaginary Heroes","Dan Harris",228500,35,81,"male","male"
"Immediate Family","Jonathan Kaplan",5400000,54,55,"male","female"
"Immigration Tango","David Burton Morris",23800,7,18,"male","female"
"Immortals","Tarsem Singh",83500000,49,49,NA,"male"
"The Importance of Being Earnest","Oliver Parker",8400000,57,72,"male","male"
"In a Better World","Susanne Bier",1e+06,78,86,"female","male"
"In America","Jim Sheridan",15500000,90,91,"male","male"
"In & Out","Frank Oz",63900000,73,52,"male","male"
"In Darkness","Agnieszka Holland",1e+06,88,80,"female","male"
"In Her Shoes","Curtis Hanson",32900000,74,66,"male","female"
"In Order of Disappearance","Hans Petter Moland",49300,86,79,"male","male"
"In Praise of Love","Jean-Luc Godard",251700,52,63,NA,"male"
"Therese","Charlie Stratton",420300,41,35,"male","female"
"In the Bedroom","Todd Field",35900000,93,81,"male","male"
"In the Company of Men","Neil LaBute",3e+06,89,80,"male","female"
"In the Cut","Jane Campion",4700000,34,34,"female","female"
"In the Land of Blood and Honey","Angelina Jolie",301300,58,47,"female","male"
"In the Land of Women","Jonathan Kasdan",1.1e+07,44,52,"male","male"
"In the Line of Fire","Wolfgang Petersen",102200000,96,79,"male","male"
"In the Mix","Ron Underwood",10200000,13,50,"male","male"
"In the Mouth of Madness","John Carpenter",8900000,60,73,"male","male"
"In the Name of the Father","Jim Sheridan",24600000,94,95,"male","male"
"In the Valley of Elah","Paul Haggis",6800000,74,77,"male","male"
"In Time","Andrew Niccol",37600000,37,51,"male","male"
"In My Skin","Marina de Van",31000,66,65,"female","female"
"In the Name of the King: A Dungeon Siege Tale","Uwe Boll",4500000,4,22,"male","male"
"Incarnate","Brad Peyton",4800000,17,24,"male","female"
"Incendies","Denis Villeneuve",6900000,91,92,"male","female"
"Inception","Christopher Nolan",292600000,87,91,"male","male"
"Incredibles 2","Brad Bird",608600000,93,84,"male","male"
"Indecent Proposal","Adrian Lyne",104900000,34,47,"male","male"
"India Sweets and Spices","Geeta Malik",288600,83,78,"female","female"
"Indiana Jones and the Dial of Destiny","James Mangold",174500000,70,88,"male","male"
"Indiana Jones and the Kingdom of the Crystal Skull","Steven Spielberg",3.17e+08,77,53,"male","male"
"Indiana Jones and the Last Crusade","Steven Spielberg",195100000,84,94,"male","male"
"Indignation","James Schamus",3400000,81,74,"male","male"
"Inferno","Ron Howard",34300000,23,36,"male","male"
"Infinitely Polar Bear","Maya Forbes",1400000,83,71,"female","male"
"Ingrid Goes West","Matt Spicer",3e+06,85,71,"male","female"
"Inkheart","Iain Softley",17300000,38,45,"male","male"
"The Inkwell","Matty Rich",8900000,22,82,"female","male"
"The In-Laws","Andrew Fleming",20400000,33,40,"male","male"
"Innerspace","Joe Dante",25900000,82,65,"male","male"
"Inside Out 2","Kelsey Mann",154200000,92,96,"female","female"
"Inside Out","Pete Docter",2e+06,98,89,"male","female"
"Inside the Yellow Cocoon Shell","Pham Thien An",75100,98,75,NA,"male"
"The Insider","Michael Mann",2.9e+07,96,90,"male","male"
"Insidious: Chapter 2","James Wan",83600000,39,57,"male","female"
"Insidious: Chapter 3","Leigh Whannell",52200000,56,51,"female","female"
"Insidious: The Last Key","Adam Robitel",67300000,33,49,"male","male"
"Inspector Gadget","David Kellogg",97400000,20,18,"male","male"
"Instinct","Jon Turteltaub",34100000,26,67,"male","male"
"Intermission","John Crowley",889900,74,75,"male","male"
"Internal Affairs","Mike Figgis",25800000,79,59,"male","male"
"The Interpreter","Sydney Pollack",72500000,58,54,"female","female"
"Interview With the Assassin","Neil Burger",47300,67,57,"male","male"
"Interview With the Vampire","Neil Jordan",104700000,63,86,"male","male"
"Intimate Strangers","Patrice Leconte",2100000,85,69,"female","female"
"Into the Woods","Rob Marshall",1.28e+08,71,49,"male","male"
"Intolerable Cruelty","Joel Coen",35100000,76,48,"male","male"
"Introducing the Dwights","Cherie Nowlan",378900,52,50,"female","male"
"Intruders","Juan Carlos Fresnadillo",64700,30,22,"male","male"
"INU-OH","Masaaki Yuasa",190100,91,88,"male","male"
"The Invasion","Oliver Hirschbiegel",15100000,20,40,"male","female"
"Invincible","Ericson Core",57800000,72,73,"male","male"
"The Invisible Circus","Adam Brooks",55400,22,44,"male","female"
"I.Q.","Fred Schepisi",25200000,45,47,"male","female"
"Irena's Vow","Louise Archambault",1100000,84,83,"female","female"
"Irina Palm","Sam Garbarski",44100,65,77,"male","female"
"Iron Man 2","Jon Favreau",312100000,72,71,"male","male"
"Iron Man 3","Shane Black",4.09e+08,79,78,"male","male"
"Iron Man","Jon Favreau",318300000,94,91,"male","male"
"Ironweed","Hector Babenco",6900000,60,59,"male","male"
"Is Anybody There?","John Crowley",2e+06,66,55,"male","male"
"Isn't She Great","Andrew Bergman",3e+06,24,37,"male","female"
"It All Starts Today","Bertrand Tavernier",12300,81,79,"male","male"
"It Follows","David Robert Mitchell",14700000,95,66,"male","female"
"It Had to Be You","Sasha Gordon",5300,60,45,"female","female"
"Italian for Beginners","Lone Scherfig",4400000,87,79,NA,"male"
"Italian Studies","Adam Leon",5500,40,22,"male","female"
"The Italian","Andrey Kravchuk",552500,91,70,"male","male"
"I've Heard the Mermaids Singing","Patricia Rozema",6900,94,67,"female","female"
"I've Loved You So Long","Philippe Claudel",3200000,88,85,"male","female"
"J. Edgar","Clint Eastwood",37300000,43,44,"male","male"
"Jack Goes Boating","Philip Seymour Hoffman",538800,68,48,"male","male"
"Jack Reacher: Never Go Back","Edward Zwick",58700000,38,42,"male","male"
"Jack Ryan: Shadow Recruit","Kenneth Branagh",50500000,54,52,"male","male"
"The Jackal","Michael Caton-Jones",54900000,24,51,"male","male"
"Jackass Presents: Bad Grandpa","Jeff Tremaine",1.02e+08,61,60,"male","male"
"The Jacket","John Maybury",6300000,44,73,"male","male"
"Jackie","Pablo Larraín",1.4e+07,88,60,"male","female"
"Jackie Brown","Quentin Tarantino",39600000,88,85,"male","female"
"Jackie Chan's First Strike","Stanley Tong",14600000,57,56,"male","female"
"Jacob's Ladder","Adrian Lyne",24800000,72,84,"male","male"
"Jade","William Friedkin",9200000,16,43,"male","male"
"Jagged Edge","Richard Marquand",36900000,81,59,"male","male"
"Jake Squared","Howard Goldberg",1700,22,36,"male","male"
"James and the Giant Peach","Henry Selick",28900000,91,66,"male","male"
"James White","Josh Mond",101400,92,70,"male","male"
"Janet Planet","Annie Baker",47000,87,NA,"female","female"
"Japanese Story","Sue Brooks",647100,68,70,"female","male"
"Jason Bourne","Paul Greengrass",162200000,54,55,"male","male"
"Jawbreaker","Darren Stein",3100000,14,55,"male","female"
"Jaws the Revenge","Joseph Sargent",18800000,2,15,"male","female"
"Jeepers Creepers 2","Victor Salva",35100000,24,37,"male","male"
"Jeepers Creepers","Victor Salva",37900000,45,49,"male","female"
"Jefferson in Paris","James Ivory",2500000,31,35,"male","male"
"Jem and the Holograms","Jon M. Chu",2e+06,22,40,"male","female"
"Jennifer Eight","Bruce Robinson",1.1e+07,39,39,"male","male"
"Jersey Girl","Kevin Smith",25300000,43,48,"male","male"
"Jimmy Hollywood","Barry Levinson",3200000,28,28,"male","male"
"Jingle All the Way","Brian Levant",60600000,20,41,"male","male"
"Jo Jo Dancer, Your Life Is Calling","Richard Pryor",16400000,50,79,"male","male"
"Jobs","Joshua Michael Stern",16100000,27,40,"male","male"
"Joe","David Gordon Green",371900,86,68,"male","male"
"Joe Bell","Reinaldo Marcus Green",1400000,40,73,"male","male"
"Joe Dirt","Dennie Gordon",27100000,9,63,"male","male"
"Joe the King","Frank Whaley",59000,68,72,"male","male"
"John Carter","Andrew Stanton",73100000,52,60,"male","male"
"Rambo","Sylvester Stallone",42700000,38,69,"male","male"
"John Tucker Must Die","Betty Thomas",4.1e+07,28,69,"female","male"
"John Wick: Chapter 4","Chad Stahelski",187100000,94,93,"male","male"
"Johnny Be Good","Bud S. Smith",15500000,0,30,"male","male"
"Johnson Family Vacation","Christopher Erskin",31200000,6,44,"male","male"
"Jojo Rabbit","Taika Waititi",33400000,80,94,NA,"male"
"Joker","Todd Phillips",335400000,69,89,"male","male"
"José","Li Cheng",26600,86,75,"female","male"
"The Journey of Natty Gann","Jeremy Kagan",8500000,91,78,"male","female"
"Journey to Bethlehem","Adam Anders",6800000,75,94,"male","male"
"Journey 2: The Mysterious Island","Brad Peyton",103800000,45,59,"male","male"
"Journey to the Center of the Earth","Eric Brevig",101700000,60,52,"male","male"
"Joy","David O. Russell",56400000,61,57,"male","female"
"Joy Ride","Adele Lim",12800000,90,82,"female","female"
"Joy Ride","John Dahl",2.2e+07,74,66,"male","male"
"Jude","Michael Winterbottom",419300,81,73,"male","male"
"Judy Moody and the NOT Bummer Summer","John Schultz",1.5e+07,21,41,"male","female"
"Juice","Ernest R. Dickerson",18600000,80,90,"male","male"
"Jumanji: The Next Level","Jake Kasdan",316800000,72,87,"male","male"
"Jump Tomorrow","Joel Hopkins",187500,82,88,"male","male"
"Jumper","Doug Liman",80200000,15,44,"male","male"
"Junebug","Phil Morrison",2700000,86,73,"male","female"
"Jungle 2 Jungle","John Pasquin",59900000,19,33,"male","male"
"The Jungle Book 2","Steve Trenbirth",47900000,18,30,"male","male"
"Jungle Cruise","Jaume Collet-Serra",1.17e+08,63,92,NA,"female"
"Jungle Fever","Spike Lee",31700000,80,67,"male","male"
"Juno","Jason Reitman",143500000,94,88,"male","female"
"Jurassic Park III","Joe Johnston",181200000,49,37,"male","male"
"Jurassic World","Colin Trevorrow",652600000,71,78,"male","male"
"Just a Kiss","Fisher Stevens",63800,18,28,"male","male"
"Just Before I Go","Courteney Cox",8100,9,63,"female","male"
"Just Friends","Roger Kumble",32600000,42,71,"male","male"
"Just Go With It","Dennis Dugan",1.03e+08,19,59,"male","male"
"Just Mercy","Destin Daniel Cretton",3.6e+07,85,99,"male","male"
"Just My Luck","Donald Petrie",17300000,14,48,"male","female"
"Just the Ticket","Richard Wenk",427900,23,38,"male","male"
"Just Wright","Sanaa Hamri",21500000,47,61,"female","female"
"Justice League","Zack Snyder",2.27e+08,40,67,"male","male"
"Juwanna Mann","Jesse Vaughan",13600000,10,39,"male","male"
"K-19: The Widowmaker","Kathryn Bigelow",35200000,60,52,"female","male"
"K2","Franc Roddam",2600000,29,49,"male","male"
"Kabluey","Scott Prendergast",83400,83,65,"male","female"
"Kapoor & Sons -- Since 1921","Shakun Batra",2600000,100,80,NA,"male"
"The Karate Kid Part II","John G. Avildsen",112100000,45,52,"male","male"
"Kazaam","Paul Michael Glaser",18900000,5,20,"male","male"
"Keane","Lodge Kerrigan",30300,82,70,NA,"male"
"Keanu","Peter Atencio",20600000,78,55,"male","male"
"Keeping the Faith","Ed Norton",3.7e+07,69,59,"male","female"
"Keeping Up With the Joneses","Greg Mottola",14900000,19,37,"male","male"
"Keeping Up With the Steins","Scott Marshall",4300000,36,38,"male","male"
"Kelly & Cal","Jen McGowan",5400,70,53,"female","female"
"Keyhole","Guy Maddin",22100,70,39,"male","male"
"Keys to Tulsa","Leslie Greif",53200,10,23,"female","male"
"Kick-Ass 2","Jeff Wadlow",28800000,32,57,"male","male"
"Kickin' It Old Skool","Harvey Glazer",4500000,2,42,"male","male"
"Kicks","Justin Tipping",145400,85,73,"male","male"
"A Kid in King Arthur's Court","Michael Gottlieb",13400000,5,27,"male","male"
"Kikujiro","Takeshi Kitano",198200,61,92,"male","male"
"Kill the Messenger","Michael Cuesta",2400000,77,69,"male","male"
"Kill Your Darlings","John Krokidas",1e+06,76,60,"male","male"
"Killerman","Malik Bader",287700,30,63,"male","male"
"Killers","Robert Luketic",4.7e+07,10,41,"male","female"
"Killing Them Softly","Andrew Dominik",14900000,74,44,"male","male"
"Killing Zoe","Roger Avary",30600,36,64,"male","male"
"Killshot","John Madden",17000,38,28,"male","male"
"Kindergarten Cop","Ivan Reitman",88600000,54,52,"male","male"
"King Kong","Peter Jackson",218100000,84,50,"male","male"
"King of the Jungle","Seth Zvi Rosenfeld",27200,22,61,"male","male"
"King Richard","Reinaldo Marcus Green",15100000,90,98,"male","male"
"Kings","Deniz Gamze Ergüven",273700,13,31,"male","female"
"King's Ransom","Jeff Byrd",4e+06,2,32,"male","male"
"Kinsey","Bill Condon",10200000,90,75,"male","male"
"Saving Christmas","Darren Doane",2800000,0,30,"male","male"
"Kiss of the Damned","Xan Cassavetes",14300,68,39,"female","female"
"Kiss of the Dragon","Chris Nahon",36800000,52,68,"male","male"
"Kiss the Bride","C. Jay Cox",31900,38,45,NA,"male"
"Kiss the Girls","Gary Fleder",60500000,34,62,"male","male"
"Kissed","Lynne Stopkewich",465400,68,67,"female","female"
"Kissing a Fool","Doug Ellin",4e+06,29,45,"male","male"
"Kissing Jessica Stein","Charles Herman-Wurmfeld",7e+06,83,65,"male","female"
"Kit Kittredge: An American Girl","Patricia Rozema",17700000,80,69,"female","female"
"Knight and Day","James Mangold",76400000,52,49,"male","female"
"Knight of Cups","Terrence Malick",558400,46,37,"male","male"
"Knights of the Zodiac","Tomek Baginski",925000,21,60,NA,"male"
"Knocked Up","Judd Apatow",148700000,89,83,"male","female"
"Knowing","Alex Proyas",79900000,35,42,"male","male"
"Kolya","Jan Sverák",5800000,96,92,"female","male"
"Krippendorf's Tribe","Todd Holland",7600000,17,24,"male","male"
"Kubo and the Two Strings","Travis Knight",4.8e+07,97,86,"male","male"
"Kull the Conqueror","John Nicolella",6100000,25,24,"male","male"
"Ennui","Cédric Kahn",36700,54,46,NA,"male"
"La Bamba","Luis Valdez",52700000,83,78,"male","male"
"La Civil","Teodora Ana Mihai",21000,86,75,"female","female"
"L.A. Confidential","Curtis Hanson",64600000,99,94,"male","male"
"La familia","Gustavo Rondón Córdova",3600,91,50,"male","male"
"La Femme Nikita","Luc Besson",5e+06,90,84,"male","female"
"L.A. Story","Mick Jackson",25800000,91,75,"male","male"
"La môme","Olivier Dahan",10300000,74,84,"male","female"
"Butterfly","José Luis Cuerda",2100000,96,91,NA,"male"
"Labor Day","Jason Reitman",13400000,34,54,"male","male"
"Ladies in Lavender","Charles Dance",6800000,64,66,"male","male"
"The Lady and the Duke","Éric Rohmer",329800,72,68,NA,"female"
"Lady Bird","Greta Gerwig",48900000,99,79,"female","female"
"Lady in the Water","M. Night Shyamalan",42300000,25,49,NA,"male"
"Lady Macbeth","William Oldroyd",1100000,88,71,"male","female"
"The Ladykillers","Joel Coen",39700000,54,43,"male","female"
"Laggies","Lynn Shelton",440300,65,50,"female","female"
"The Lair of the White Worm","Ken Russell",22000,69,48,"male","female"
"Lamb","Ross Partridge",3100,82,55,"male","female"
"Lan Yu","Stanley Kwan Kam-Pang",116200,68,83,"male","male"
"Land","Robin Wright",2600000,69,84,"female","female"
"The Land Before Time","Don Bluth",45800000,65,79,"male","male"
"Lantana","Ray Lawrence",4500000,91,82,"male","female"
"Lara Croft Tomb Raider: The Cradle of Life","Jan de Bont",65700000,24,44,"female","female"
"Larry Crowne","Tom Hanks",35600000,37,41,"male","male"
"The Last Castle","Rod Lurie",18200000,52,74,"male","male"
"Last Chance Harvey","Joel Hopkins",14900000,71,53,"male","male"
"Last Days","Gus Van Sant",454700,58,50,"male","male"
"The Last Emperor","Bernardo Bertolucci",4.3e+07,86,88,"male","male"
"The Last Exorcism","Daniel Stamm",4.1e+07,71,35,"male","male"
"Last Flag Flying","Richard Linklater",960300,76,72,"male","male"
"Last Holiday","Wayne Wang",38400000,55,67,"male","female"
"The Last Kiss","Tony Goldwyn",11600000,46,59,"male","male"
"The Last Legion","Doug Lefler",5900000,15,34,"male","male"
"Last Life in the Universe","Pen-Ek Ratanaruang",31700,90,90,NA,"male"
"Last Night in Soho","Edgar Wright",10100000,75,90,"male","female"
"Last Orders","Fred Schepisi",2300000,79,73,"male","male"
"The Last Sin Eater","Michael Landon Jr.",379600,22,72,"male","female"
"The Last Station","Michael Hoffman",6600000,71,67,"male","male"
"The Last Temptation of Christ","Martin Scorsese",8200000,82,84,"male","male"
"Last Vegas","Jon Turteltaub",63900000,46,59,"male","male"
"Late August, Early September","Olivier Assayas",68200,78,75,"male","male"
"Laurel Canyon","Lisa Cholodenko",3700000,68,52,"female","male"
"Law Abiding Citizen","F. Gary Gray",73300000,26,75,NA,"male"
"Laws of Attraction","Peter Howitt",17800000,18,47,"male","female"
"Lay the Favorite","Stephen Frears",21000,18,19,"male","female"
"Layer Cake","Matthew Vaughn",2300000,81,84,"male","male"
"LBJ","Rob Reiner",2500000,56,54,"male","male"
"Lean on Me","John G. Avildsen",28900000,68,85,"male","male"
"Lean on Pete","Andrew Haigh",1200000,90,74,"male","male"
"Leap Year","Anand Tucker",25900000,24,47,"male","female"
"Leap Year","Michael Rowe",12200,89,56,"male","female"
"Learning to Drive","Isabel Coixet",3400000,67,58,"female","female"
"Leaving Las Vegas","Mike Figgis",29900000,91,85,"male","male"
"Lebanon, Pa.","Ben Hickernell",48400,50,48,"male","male"
"Lee Daniels' The Butler","Lee Daniels",116600000,72,78,"male","male"
"Left Behind","Vic Armstrong",1.4e+07,0,19,"male","male"
"Legal Eagles","Ivan Reitman",47200000,44,32,"male","female"
"Legally Blonde 2: Red, White & Blonde","Charles Herman-Wurmfeld",89800000,36,39,"male","female"
"Legend","Brian Helgeland",1900000,61,59,"male","male"
"The Legend of Bagger Vance","Robert Redford",30700000,43,65,"male","female"
"Legend of the Guardians: The Owls of Ga'Hoole","Zack Snyder",55700000,52,64,"male","male"
"The Legend of Zorro","Martin Campbell",45400000,28,48,"male","male"
"Legends of the Fall","Edward Zwick",63200000,59,87,"male","male"
"Legion","Scott Stewart",40200000,20,31,"male","female"
"The Professional","Luc Besson",1.9e+07,74,95,"male","female"
"Lion's Den","Pablo Trapero",13700,91,72,"male","female"
"Leprechaun","Mark Jones",9200000,35,33,"male","male"
"Less Than Zero","Marek Kanievska",10800000,50,63,"male","male"
"Let Him Go","Thomas Bezucha",9400000,85,76,"male","male"
"Let It Be Morning","Eran Kolirin",25800,84,100,"male","male"
"Snow Days","Adam Marcus",20600,53,63,"male","male"
"Let Me In","Matt Reeves",12100000,88,76,"male","male"
"Let the Right One In","Tomas Alfredson",2100000,98,90,"male","male"
"Let There Be Light","Kevin Sorbo",7200000,27,74,"male","male"
"Lethal Weapon 2","Richard Donner",144900000,82,77,"male","male"
"Lethal Weapon 3","Richard Donner",1.42e+08,58,61,"male","male"
"Lethal Weapon","Richard Donner",6.1e+07,80,86,"male","male"
"Letters From Iwo Jima","Clint Eastwood",13800000,91,86,"male","male"
"Leviathan","Andrey Zvyagintsev",1200000,97,80,"male","male"
"Levity","Ed Solomon",209200,34,47,"male","male"
"Liar Liar","Tom Shadyac",181400000,83,75,"male","male"
"Liberal Arts","Josh Radnor",241800,71,60,"male","male"
"The Libertine","Laurence Dunmore",4800000,34,58,"male","male"
"Licence to Kill","John Glen",34700000,80,61,"male","male"
"Life and Nothing More","Antonio Méndez Esparza",24400,93,83,"male","female"
"The Life Aquatic With Steve Zissou","Wes Anderson",2.4e+07,57,82,"male","male"
"Life as a House","Irwin Winkler",15600000,47,88,"male","male"
"A Life Less Ordinary","Danny Boyle",4300000,41,59,"male","female"
"Life of a King","Jake Goldberger",5700,43,67,"male","male"
"Life of Crime","Daniel Schechter",261700,68,37,"male","male"
"The Life of David Gale","Alan Parker",19600000,19,81,"male","male"
"Life of the Party","Ben Falcone",52800000,38,40,"male","female"
"Life or Something Like It","Stephen Herek",14400000,28,44,"male","female"
"Life With Mikey","James Lapine",12300000,25,39,"male","male"
"Lights Out","David F. Sandberg",67300000,75,61,"male","female"
"Lightyear","Angus MacLane",118300000,74,84,"male","male"
"Like Crazy","Drake Doremus",3400000,71,62,"male","female"
"Like Mike","John Schultz",51400000,57,51,"male","male"
"Lila & Eve","Charles Stone III",37900,40,42,"male","female"
"Lila Says","Ziad Doueiri",121200,68,76,"male","male"
"Lilya 4-Ever","Lukas Moodysson",181700,85,91,"male","female"
"Limbo","John Sayles",2e+06,72,70,"male","male"
"The Limey","Steven Soderbergh",3200000,92,78,"male","male"
"Limitless","Neil Burger",79200000,68,74,"male","male"
"L'immensità","Emanuele Crialese",102500,83,67,"male","female"
"Lincoln","Steven Spielberg",182200000,90,80,"male","male"
"The Lincoln Lawyer","Brad Furman",5.8e+07,84,82,"male","male"
"Lingui, The Sacred Bonds","Mahamat-Saleh Haroun",27500,96,80,NA,"female"
"Lion","Garth Davis",51700000,84,91,"male","male"
"Lisa","Gary Sherman",4100000,50,49,"male","female"
"Little Birds","Elgin James",16600,59,42,"male","female"
"Little Black Book","Nick Hurran",20400000,22,37,"male","female"
"Little Boy","Alejandro Monteverde",6500000,26,78,"male","male"
"Little Children","Todd Field",5500000,80,82,"male","female"
"Little Fockers","Paul Weitz",148400000,9,34,"male","male"
"Little Giants","Duwayne Dunham",18800000,36,63,"male","male"
"Little Man Tate","Jodie Foster",2.5e+07,71,66,"female","female"
"Little Manhattan","Mark Levin",384900,77,86,"male","male"
"Little Monsters","Richard Greenberg",542900,44,62,"male","male"
"Little Nicky","Steven Brill",39400000,22,55,"male","male"
"Little Secrets","Blair Treu",405200,60,58,"male","female"
"The Little Vampire","Uli Edel",13600000,55,55,"female","male"
"Little Voice","Mark Herman",4600000,80,74,"male","male"
"Little Women","Clare Niederpruem",1400000,30,69,"female","female"
"Little Women","Greta Gerwig",108100000,95,92,"female","female"
"Little Woods","Nia DaCosta",147100,95,54,"female","female"
"Live by Night","Ben Affleck",10400000,35,42,"male","male"
"Live Free or Die Hard","Len Wiseman",134500000,82,86,"male","male"
"Living","Oliver Hermanus",3e+06,96,91,"male","male"
"Living in Oblivion","Tom DiCillo",48000,86,87,"male","male"
"Living Out Loud","Richard LaGravenese",12900000,60,62,"male","female"
"Lizzie","Craig William Macneill",639200,66,48,"male","female"
"The Lizzie McGuire Movie","Jim Fall",42700000,40,49,"male","female"
"Lock, Stock and Two Smoking Barrels","Guy Ritchie",3700000,75,93,"male","male"
"Locke","Steven Knight",1400000,91,72,"male","male"
"Logan","James Mangold",226300000,93,90,"male","male"
"Lola Versus","Daryl Wein",251900,36,31,"male","female"
"Lone Survivor","Peter Berg",125100000,75,87,"male","male"
"Lonesome Jim","Steve Buscemi",154100,60,57,"male","male"
"Long Shot","Jonathan Levine",30300000,82,74,"male","male"
"The Longest Yard","Peter Segal",158100000,31,62,"male","male"
"The Longshots","Fred Durst",11500000,41,61,"male","male"
"Longtime Companion","Norman René",4600000,91,83,"male","male"
"Look at Me","Agnès Jaoui",1700000,88,69,NA,"female"
"Looking for an Echo","Martin Davidson",14400,67,71,"male","male"
"Looking for Kitty","Edward Burns",3200,35,44,"male","male"
"Looney Tunes: Back in Action","Joe Dante",2.1e+07,57,50,"male","male"
"Looper","Rian Johnson",66300000,93,82,"male","male"
"Lord of Illusions","Clive Barker",12400000,58,53,"male","female"
"Lord of War","Andrew Niccol",24100000,62,85,"male","male"
"Lords of Chaos","Jonas Akerlund",253200,73,62,"male","male"
"The Loss of a Teardrop Diamond","Jodie Markell",119400,27,40,"female","female"
"The Loss of Sexual Innocence","Mike Figgis",299800,47,60,"male","male"
"Lost and Love","Sanyuan Peng",187000,50,49,NA,"male"
"The Lost Boys","Joel Schumacher",31700000,77,85,"male","male"
"Lost Illusions","Xavier Giannoli",124600,93,93,"male","male"
"Lost in Translation","Sofia Coppola",44600000,95,85,"female","female"
"Lost in Yonkers","Martha Coolidge",9100000,71,77,"female","female"
"The Lost Skeleton of Cadavra","Larry Blamire",110500,54,85,"male","male"
"Back Home","Joachim Trier",163200,73,52,"male","male"
"Love After Love","Russell Harbaugh",112300,85,40,"male","female"
"Love Again","James C. Strouse",5900000,28,91,"male","female"
"Love & Mercy","Bill Pohlad",12500000,89,85,"male","male"
"Love Don't Cost a Thing","Troy Byer",21900000,13,65,"male","male"
"The Love Guru","Marco Schnabel",32200000,13,33,"male","male"
"Love Happens","Brandon Camp",22900000,16,37,"male","male"
"Love in the Time of Cholera","Mike Newell",4600000,27,45,"male","female"
"Love Is All You Need","Susanne Bier",1600000,75,59,"female","female"
"Love Liza","Todd Louiso",211700,54,76,"male","male"
"Love Potion No. 9","Dale Launer",710300,25,43,"male","male"
"A Love Song for Bobby Long","Shainee Gabel",159200,44,80,NA,"female"
"Love Stinks","Jeff Franklin",2600000,19,63,"male","female"
"Love the Hard Way","Peter Sehr",43600,28,66,"male","male"
"Love, Sex & Eating the Bones","Sudz Sutherland",116900,57,46,NA,"male"
"Lovely & Amazing","Nicole Holofcener",4200000,86,64,"female","female"
"Lovely, Still","Nicholas Fackler",124700,73,75,"male","male"
"Loverboy","Kevin Bacon",29700,18,36,"male","female"
"Love's Labour's Lost","Kenneth Branagh",284300,50,40,"male","male"
"Low Down","Jeff Preiss",44500,50,49,"male","female"
"A Low Down Dirty Shame","Keenen Ivory Wayans",29400000,4,69,"male","male"
"Lowriders","Ricardo de Montreuil",6200000,57,61,"male","male"
"Luca","Enrico Casarosa",1100000,91,85,"male","male"
"Luce","Julius Onah",2e+06,91,77,"male","male"
"Lucky Break","Peter Cattaneo",54600,48,48,"male","male"
"Lucky Number Slevin","Paul McGuigan",22500000,52,87,"male","male"
"Lucky Numbers","Nora Ephron",1e+07,23,19,"female","male"
"Lucky Them","Megan Griffiths",32900,78,57,"female","female"
"Lucky You","Curtis Hanson",5800000,28,28,"male","male"
"Lucy","Luc Besson",126500000,67,47,"male","female"
"Luv","Sheldon Candis",151100,34,61,"male","male"
"M3GAN","Gerard Johnstone",9.5e+07,93,78,"male","female"
"Ma","Tate Taylor",45300000,55,64,"male","female"
"Ma ma","Julio Medem",46500,25,46,"male","male"
"MacGruber","Jorma Taccone",8500000,47,35,"male","male"
"Machine Gun Preacher","Marc Forster",537600,29,62,"male","male"
"The Machinist","Brad Anderson",1100000,77,83,"male","male"
"Mad City","Costa-Gavras",10600000,33,42,NA,"male"
"Mad Dog Time","Larry Bishop",102900,17,48,"male","male"
"Mad Max: Fury Road","George Miller",153600000,97,86,"male","female"
"Made in Dagenham","Nigel Cole",1100000,80,75,"male","female"
"Made in Italy","James D'Arcy",101100,43,40,"male","male"
"Made of Honor","Paul Weiland",4.6e+07,16,55,"male","male"
"Made","Jon Favreau",5300000,71,66,"male","male"
"Tyler Perry's Madea's Big Happy Family","Tyler Perry",53300000,38,74,"male","female"
"Tyler Perry's Madea's Witness Protection","Tyler Perry",65600000,19,66,"male","male"
"Madeline's Madeline","Josephine Decker",183000,88,43,"female","female"
"Mother","Bong Joon Ho",547300,96,89,"male","female"
"Madison","William Bindley",508900,31,50,"male","male"
"The Madness of King George","Nicholas Hytner",15200000,94,80,"male","male"
"Maelstrom","Denis Villeneuve",353700,79,76,"male","female"
"Mafia Mamma","Catherine Hardwicke",2e+06,21,67,"female","female"
"Maggie's Plan","Rebecca Miller",3400000,86,52,"female","male"
"Magic in the Moonlight","Woody Allen",10500000,51,45,"male","male"
"Magic in the Water","Rick Stevenson",2300000,21,58,"male","male"
