"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"Fearless","Peter Weir",6500000,84,80,"male","male"
"The Beverly Hillbillies","Penelope Spheeris",42200000,24,32,"female","male"
"Into the West","Mike Newell",3700000,77,79,"male","male"
"The Getaway","Roger Donaldson",15500000,33,28,"male","male"
"The Chase","Adam Rifkin",8e+06,43,37,"male","male"
"Clean Slate","Mick Jackson",7300000,19,36,"male","male"
"Black Beauty","Caroline Thompson",4200000,74,76,"female","male"
"The Mask","Chuck Russell",119900000,80,68,"male","male"
"The Shadow","Russell Mulcahy",3.2e+07,37,44,"male","male"
"Barcelona","Whit Stillman",7300000,81,80,"male","male"
"Beloved","Jonathan Demme",22800000,72,70,"male","female"
"Little Women","Gillian Armstrong",48800000,92,84,"female","female"
"Nobody's Fool","Robert Benton",38300000,91,81,"male","male"
"Kiss of Death","Barbet Schroeder",14700000,69,38,NA,"male"
"Rob Roy","Michael Caton-Jones",30400000,73,75,"male","male"
"A Little Princess","Alfonso Cuarón",9e+06,97,88,"male","female"
"Bad Boys","Michael Bay",63900000,44,78,"male","male"
"Babe","Chris Noonan",63600000,97,67,"male","male"
"Fair Game","Andrew Sipes",11200000,12,14,"male","female"
"To Die For","Gus Van Sant",20500000,88,66,"male","female"
"Casino","Martin Scorsese",42400000,78,93,"male","male"
"Sabrina","Sydney Pollack",51600000,60,64,"female","female"
"Dead Man Walking","Tim Robbins",37100000,95,86,"male","male"
"Cry, the Beloved Country","Darrell James Roodt",337200,85,73,"male","male"
"Georgia","Ulu Grosbard",215000,81,65,NA,"female"
"Sense and Sensibility","Ang Lee",4.2e+07,97,90,"male","female"
"Broken Arrow","John Woo",70600000,54,44,"male","male"
"Restoration","Michael Hoffman",3500000,71,58,"male","male"
"Black Sheep","Penelope Spheeris",30600000,30,70,"female","male"
"August","Anthony Hopkins",48900,14,48,"male","male"
"Flipper","Alan Shapiro",2e+07,30,34,"male","male"
"Primal Fear","Gregory Hoblit",56100000,77,89,"male","male"
"Twister","Jan de Bont",241700000,63,58,"female","female"
"Fear","James Foley",20500000,46,63,"male","female"
"Boys","Stacy Cochran",513800,15,26,"female","male"
"Last Dance","Bruce Beresford",5900000,30,58,"male","male"
"The Last Supper","Stacy Title",189500,61,70,"female","male"
"Matilda","Danny DeVito",33100000,92,73,"male","female"
"Jack","Francis Ford Coppola",58600000,17,49,"male","female"
"Freeway","Matthew Bright",283800,76,76,"male","female"
"Girls Town","Jim McKay",508700,85,80,"male","female"
"Harriet the Spy","Bronwen Hughes",26600000,48,50,"female","female"
"Bulletproof","Ernest R. Dickerson",21300000,8,44,"male","male"
"Foxfire","Annette Haywood-Carter",258300,44,65,"female","female"
"The Associate","Donald Petrie",12800000,28,53,"male","female"
"Emma","Douglas McGrath",22200000,84,76,"male","female"
"Selena","Gregory Nava",35400000,66,78,"male","female"
"Sleepers","Barry Levinson",53300000,73,85,"male","male"
"Lone Star","John Sayles",13100000,91,83,"male","male"
"101 Dalmatians","Stephen Herek",136200000,39,40,"male","female"
"Ransom","Ron Howard",136500000,74,63,"male","male"
"The Portrait of a Lady","Jane Campion",3700000,47,52,"female","female"
"One Fine Day","Michael Hoffman",46100000,53,65,"male","male"
"The Funeral","Abel Ferrara",1200000,80,68,"male","male"
"The Crucible","Nicholas Hytner",7300000,70,66,"male","male"
"That Darn Cat","Bob Spiers",18300000,13,24,"male","female"
"Hamlet","Kenneth Branagh",4400000,95,89,"male","male"
"The War at Home","Emilio Estevez",43900,60,75,"male","male"
"Mother","Albert Brooks",1100000,87,75,"male","male"
"Volcano","Mick Jackson",47500000,49,32,"male","male"
"Batman & Robin","Joel Schumacher",107300000,12,16,"male","male"
"The Van","Stephen Frears",621100,38,71,"male","male"
"Trial and Error","Jonathan Lynn",13600000,50,30,"male","male"
"Nothing to Lose","Steve Oedekerk",44500000,31,68,"male","male"
"Hoodlum","Bill Duke",23500000,43,65,"male","male"
"Fire Down Below","Felix Alcala",16100000,14,36,"male","male"
"Bliss","Lance Young",207800,50,54,"male","male"
"Most Wanted","David Hogan",6300000,15,40,"male","male"
"One Night Stand","Mike Figgis",2600000,34,39,"male","male"
"Firestorm","Dean Semler",8e+06,12,27,"male","male"
"Fallen","Gregory Hoblit",25200000,40,72,"male","male"
"Great Expectations","Alfonso Cuarón",26300000,39,56,"male","male"
"The Man in the Iron Mask","Randall Wallace",5.7e+07,32,55,"male","male"
"Mr. Nice Guy","Sammo Hung Kam-Bo",12700000,43,44,NA,"male"
"Nightwatch","Ole Bornedal",1200000,27,46,"male","male"
"Men With Guns","John Sayles",910300,89,91,"male","male"
"Twilight","Robert Benton",1.5e+07,61,31,"male","male"
"Hush","Jonathan Darby",13500000,14,34,"male","female"
"A Perfect Murder","Andrew Davis",67500000,55,51,"male","male"
"Les Miserables","Bille August",13900000,75,83,"female","male"
"Madeline","Daisy von Scherler Mayer",29800000,65,43,"female","female"
"Out of Sight","Steven Soderbergh",37500000,94,74,"male","male"
"The Avengers","Jeremiah S. Chechik",23400000,5,15,"male","female"
"Dirty Work","Bob Saget",1e+07,14,66,"male","male"
"The Negotiator","F. Gary Gray",44700000,74,79,NA,"male"
"Jane Austen's Mafia!","Jim Abrahams",19900000,14,47,"male","male"
"Rounders","John Dahl",22900000,64,87,"male","male"
"Return to Paradise","Joseph Ruben",8300000,70,74,"male","male"
"The Thin Red Line","Terrence Malick",36400000,80,80,"male","male"
"Elizabeth","Shekhar Kapur",30100000,84,86,NA,"female"
"Life Is Beautiful","Roberto Benigni",57600000,81,96,"male","female"
"Mighty Joe Young","Ron Underwood",50600000,54,40,"male","female"
"At First Sight","Irwin Winkler",22400000,32,45,"male","male"
"Celebrity","Woody Allen",5e+06,42,42,"male","male"
"True Crime","Clint Eastwood",16600000,56,49,"male","male"
"Psycho","Gus Van Sant",21500000,41,28,"male","female"
"Lost & Found","Jeff Pollack",6500000,13,28,"male","male"
"Go","Doug Liman",16800000,91,78,"male","male"
"The Winslow Boy","David Mamet",4e+06,97,78,"male","male"
"The King and I","Richard Rich",1.2e+07,13,41,"male","female"
"The General","John Boorman",1200000,82,80,"male","male"
"Payback","Brian Helgeland",81500000,56,69,"male","male"
"Friends & Lovers","George Haas",94600,7,33,"male","male"
"I'll Be Home for Christmas","Arlene Sanford",12200000,23,41,"female","male"
"The Inheritors","Stefan Ruzowitzky",197700,75,65,"male","male"
"I Want You","Michael Winterbottom",1200,67,61,"male","male"
"Romance","Catherine Breillat",1300000,49,45,"female","female"
"In Too Deep","Michael Rymer",1.4e+07,39,75,"male","male"
"The War Zone","Tim Roth",237000,84,83,"male","male"
"Man on the Moon","Milos Forman",34600000,64,79,"male","male"
"Double Jeopardy","Bruce Beresford",116700000,28,61,"male","female"
"Diamonds","John Asher",81900,26,30,"male","male"
"The End of the Affair","Neil Jordan",10700000,67,74,"male","male"
"Mansfield Park","Patricia Rozema",4800000,78,76,"female","male"
"Miss Julie","Mike Figgis",13100,39,52,"male","female"
"Superstar","Bruce McCulloch",30600000,32,59,"male","female"
"Tumbleweeds","Gavin O'Connor",1300000,82,65,"male","female"
"Onegin","Martha Fiennes",183800,48,72,"female","male"
"The Bachelor","Gary Sinyor",21700000,8,28,"male","female"
"Last Night","Don McKellar",493500,85,85,"male","male"
"A Dog of Flanders","Kevin Brodie",2100000,24,64,"male","male"
"Eye of the Beholder","Stephan Elliott",16500000,9,32,"male","male"
"What Planet Are You From?","Mike Nichols",6300000,42,28,"male","male"
"High Fidelity","Stephen Frears",27300000,91,90,"male","male"
"Coming Soon","Colette Burson",3700,38,26,"female","female"
"Committed","Lisa Krueger",31800,43,35,"female","female"
"Road Trip","Todd Phillips",68500000,57,65,"male","male"
"10th and Wolf","Bobby Moresco",53500,19,52,"male","male"
"11 Flowers","Wang Xiaoshuai",9200,85,69,"male","male"
"Get Carter","Stephen Kay",1.5e+07,11,28,"male","male"
"Lost Souls","Janusz Kaminski",16800000,8,22,"male","female"
"Bedazzled","Harold Ramis",37900000,50,43,"male","female"
"Malena","Giuseppe Tornatore",3400000,53,84,"male","male"
"Double Take","George Gallo",29800000,12,50,"male","male"
"The Pledge","Sean Penn",19700000,78,59,"male","male"
"Panic","Henry Bromell",775800,91,62,"male","male"
"Hannibal","Ridley Scott",165100000,39,62,"male","male"
"Heartbreakers","David Mirkin",40300000,54,51,"male","female"
"Someone Like You","Tony Goldwyn",27300000,42,56,"male","female"
"L.I.E.","Michael Cuesta",1100000,84,78,"male","male"
"The Fast and the Furious","Rob Cohen",144500000,54,74,"male","male"
"The Score","Frank Oz",71100000,74,67,"male","male"
"Heist","David Mamet",23500000,67,59,"male","male"
"The Others","Alejandro Amenábar",13500,84,77,"male","female"
"Hamlet","Franco Zeffirelli",18200000,76,59,"male","male"
"On the Line","Eric Bross",4400000,19,47,"male","male"
"Invincible","Werner Herzog",80600,55,51,"male","male"
"Iris","Richard Eyre",5600000,79,73,"male","female"
"Scooby-Doo","Raja Gosnell",153300000,32,40,"male","male"
"The New Guy","Ed Decter",2.9e+07,7,54,"male","male"
"The Time Machine","Simon Wells",56700000,28,37,"male","male"
"Showtime","Tom Dey",37900000,25,25,"male","female"
"Murder by Numbers","Barbet Schroeder",31900000,30,49,NA,"female"
"Joshua","Jon Purdy",1300000,22,77,"male","male"
"Enough","Michael Apted",39200000,22,67,"male","female"
"Insomnia","Christopher Nolan",67300000,92,77,"male","male"
"Swept Away","Guy Ritchie",598600,6,28,"male","male"
"All or Nothing","Mike Leigh",112900,82,81,"male","female"
"Empire","Franc. Reyes",17500000,21,62,NA,"male"
"Adaptation","Spike Jonze",22200000,90,85,"male","male"
"The Guru","Daisy von Scherler Mayer",3e+06,57,40,"female","male"
"Spider","David Cronenberg",1600000,85,68,"male","male"
"Anger Management","Peter Segal",133800000,42,59,"male","male"
"The Embalmer","Matteo Garrone",56300,81,70,"male","male"
"Le Divorce","James Ivory",9100000,36,26,"male","female"
"Dummy","Greg Pritikin",71300,70,74,"male","male"
"Big Fish","Tim Burton",66300000,75,89,"male","male"
"Highwaymen","Robert Harmon",367000,13,37,"male","male"
"The Company","Robert Altman",2300000,72,49,"male","female"
"Peter Pan","P.J. Hogan",48400000,77,74,NA,"female"
"The Girl Next Door","Luke Greenfield",14600000,56,69,"male","male"
"Envy","Barry Levinson",12200000,8,27,"male","male"
"The Punisher","Jonathan Hensleigh",33700000,29,63,"male","male"
